Model,Precision,Recall,F1-Score,ROC-AUC
Naive (All Legitimate),0.0,0.0,0.0,0.5
LR Baseline (Scaler→SMOTE→LR),0.4,0.9411764705882353,0.5614035087719298,0.9981203339795299
LR Tuned (GridSearchCV),0.14545454545454545,0.9411764705882353,0.25196850393700787,0.9969241828755944
RF Baseline (SMOTE→RF),0.8333333333333334,0.5882352941176471,0.6896551724137931,0.9970773844948176
RF Tuned (GridSearchCV),0.7272727272727273,0.47058823529411764,0.5714285714285714,0.9982912127086636
